datetime,pm10,pm2_5,nitrogen_dioxide,sulphur_dioxide,ozone,hour,day_of_week,month
2020-01-01 01:00:00,72.7,58.9,50.8,5.9,0.0,1,2,1
2020-01-01 02:00:00,71.2,69.6,50.4,4.6,0.0,2,2,1
2020-01-01 03:00:00,56.4,52.0,47.1,5.5,1.0,3,2,1
2020-01-01 04:00:00,51.8,48.3,41.3,5.8,0.0,4,2,1
2020-01-01 05:00:00,45.4,39.6,42.2,5.6,0.0,5,2,1
2020-01-01 06:00:00,38.7,35.6,36.2,6.1,0.0,6,2,1
2020-01-01 07:00:00,39.4,33.4,35.9,6.1,1.0,7,2,1
2020-01-01 08:00:00,42.1,32.9,37.1,6.3,1.0,8,2,1
2020-01-01 09:00:00,51.0,32.7,42.8,6.3,2.0,9,2,1
2020-01-01 10:00:00,54.0,37.5,43.0,5.0,3.0,10,2,1
2020-01-01 11:00:00,47.4,36.8,44.4,4.2,5.0,11,2,1
2020-01-01 12:00:00,45.7,38.5,45.9,4.6,11.0,12,2,1
2020-01-01 13:00:00,43.2,34.2,41.7,4.2,17.0,13,2,1
2020-01-01 14:00:00,41.4,32.6,41.3,3.8,22.0,14,2,1
2020-01-01 15:00:00,39.0,31.2,46.4,3.9,25.0,15,2,1
2020-01-01 16:00:00,41.0,30.0,52.2,4.2,23.0,16,2,1
2020-01-01 17:00:00,50.5,36.9,61.1,4.2,8.0,17,2,1
2020-01-01 18:00:00,56.9,41.8,68.0,3.7,2.0,18,2,1
2020-01-01 19:00:00,61.2,43.2,69.3,3.8,1.0,19,2,1
2020-01-01 20:00:00,66.6,49.6,68.3,3.6,1.0,20,2,1
2020-01-01 21:00:00,72.0,58.0,66.2,3.5,1.0,21,2,1
2020-01-01 22:00:00,76.3,63.7,65.1,3.9,1.0,22,2,1
2020-01-01 23:00:00,73.9,59.1,63.8,3.4,1.0,23,2,1
2020-01-02 00:00:00,73.5,57.8,61.8,3.1,0.0,0,3,1
2020-01-02 01:00:00,63.3,56.3,60.3,3.3,1.0,1,3,1
2020-01-02 02:00:00,61.1,52.1,58.2,3.3,0.0,2,3,1
2020-01-02 03:00:00,58.2,49.7,57.7,3.8,0.0,3,3,1
2020-01-02 04:00:00,59.2,48.3,52.7,3.6,0.0,4,3,1
2020-01-02 05:00:00,47.3,44.1,50.5,3.4,0.0,5,3,1
2020-01-02 06:00:00,45.9,43.7,49.5,3.5,0.0,6,3,1
2020-01-02 07:00:00,56.0,41.3,53.0,4.2,0.0,7,3,1
2020-01-02 08:00:00,63.0,46.2,52.8,4.6,3.0,8,3,1
2020-01-02 09:00:00,69.7,42.0,53.7,4.6,3.0,9,3,1
2020-01-02 10:00:00,68.4,42.5,49.4,4.5,4.0,10,3,1
2020-01-02 11:00:00,61.8,43.7,47.4,4.7,6.0,11,3,1
2020-01-02 12:00:00,54.8,47.8,45.0,4.4,9.0,12,3,1
2020-01-02 13:00:00,58.8,48.0,50.3,4.8,13.0,13,3,1
2020-01-02 14:00:00,53.5,38.5,48.8,4.0,16.0,14,3,1
2020-01-02 15:00:00,52.0,34.0,50.0,4.3,16.0,15,3,1
2020-01-02 16:00:00,52.5,34.2,55.3,4.4,12.0,16,3,1
2020-01-02 17:00:00,53.9,39.8,61.6,4.3,6.0,17,3,1
2020-01-02 18:00:00,55.3,43.8,63.8,4.6,1.0,18,3,1
2020-01-02 19:00:00,66.1,45.4,65.2,4.9,0.0,19,3,1
2020-01-02 20:00:00,67.1,48.9,67.9,5.1,1.0,20,3,1
2020-01-02 21:00:00,65.2,48.8,69.3,5.7,0.0,21,3,1
2020-01-02 22:00:00,67.0,49.7,69.5,5.8,1.0,22,3,1
2020-01-02 23:00:00,64.4,52.8,66.4,5.0,1.0,23,3,1
2020-01-03 00:00:00,65.9,54.7,60.4,4.4,1.0,0,4,1
2020-01-03 01:00:00,61.2,56.8,56.9,3.6,1.0,1,4,1
2020-01-03 02:00:00,61.5,54.0,54.4,4.0,1.0,2,4,1
2020-01-03 03:00:00,55.8,47.9,53.5,4.1,1.0,3,4,1
2020-01-03 04:00:00,51.4,48.5,50.1,4.6,0.0,4,4,1
2020-01-03 05:00:00,43.1,42.0,46.1,4.3,0.0,5,4,1
2020-01-03 06:00:00,47.5,42.8,43.7,5.2,0.0,6,4,1
2020-01-03 07:00:00,53.6,48.5,42.5,5.5,0.0,7,4,1
2020-01-03 08:00:00,57.1,50.8,42.5,5.6,2.0,8,4,1
2020-01-03 09:00:00,60.2,51.8,50.0,5.7,3.0,9,4,1
2020-01-03 10:00:00,61.1,54.5,54.2,5.7,4.0,10,4,1
2020-01-03 11:00:00,55.5,53.0,55.0,6.9,5.0,11,4,1
2020-01-03 12:00:00,56.9,51.5,56.0,6.0,6.0,12,4,1
2020-01-03 13:00:00,54.1,43.4,56.9,6.4,6.0,13,4,1
